patterns,tag
Como faço para agendar uma consulta técnica presencial?,Agendamento
Como faço para agendar uma inspeção de qualidade após a instalação?,Agendamento
Como faço para agendar uma visita técnica de rotina?,Agendamento
Como faço para agendar uma visita técnica de urgência por meio de aplicativos de redes sociais?,Agendamento
Como faço para agendar uma visita técnica de urgência por mensagem de texto?,Agendamento
Como faço para agendar uma visita técnica de urgência?,Agendamento
Como faço para agendar uma visita técnica para avaliar minhas necessidades de refrigeração?,Agendamento
Como faço para agendar uma visita técnica?,Agendamento
Como faço para solicitar um orçamento para um projeto de refrigeração industrial?,Agendamento
Como faço para solicitar um orçamento?,Agendamento
Como faço para solicitar uma visita técnica de emergência?,Agendamento
Como funciona o agendamento de serviços de emergência?,Agendamento
Como funciona o processo de agendamento de serviços?,Agendamento
Como posso agendar a instalação de um equipamento de refrigeração em minha loja?,Agendamento
Como posso agendar a instalação de um equipamento de refrigeração em minha loja?,Agendamento
Como posso agendar a manutenção preventiva do meu sistema de refrigeração?,Agendamento
Como posso agendar uma manutenção para meu refrigerador?,Agendamento
De que forma posso agendar a instalação?,Agendamento
Posso agendar a instalação de um ar condicionado para o próximo sábado?,Agendamento
Posso agendar uma visita técnica para verificar um problema no meu refrigerador?,Agendamento
Quais documentos são necessários para agendar um serviço de manutenção?,Agendamento
Qual é o prazo para agendar uma manutenção preventiva?,Agendamento
Qual é o procedimento para agendar um serviço de manutenção de emergência durante um feriado?,Agendamento
Qual é o procedimento para agendar um serviço de manutenção de emergência por meio de aplicativos de redes sociais?,Agendamento
Qual é o procedimento para agendar um serviço de manutenção de rotina?,Agendamento
Qual é o procedimento para agendar um serviço de manutenção preventiva durante um feriado por meio de aplicativos de redes sociais?,Agendamento
Qual é o procedimento para agendar um serviço de manutenção preventiva durante um feriado por mensagem de texto?,Agendamento
Qual é o procedimento para agendar um serviço de manutenção preventiva durante um feriado?,Agendamento
Qual é o procedimento para agendar uma visita técnica urgente?,Agendamento
Qual é o procedimento para solicitar um orçamento personalizado?,Agendamento
Qual é o procedimento para solicitar uma visita técnica para reparos?,Agendamento
Quanto tempo demora para virem instalar?,Agendamento
Me ajudou,Agradecimento
Muito obrigado,Agradecimento
Obrigado,Agradecimento
Como faço para acessar minha conta online?,Atendente
Como faço para acompanhar o histórico de pedidos na minha conta online?,Atendente
Como faço para atualizar minha senha na minha conta online?,Atendente
Como faço para atualizar minhas informações de contato na minha conta online?,Atendente
Como faço para atualizar minhas informações de contato por meio de aplicativos de redes sociais?,Atendente
Como faço para atualizar minhas informações de contato por mensagem de texto?,Atendente
Como faço para atualizar minhas informações de contato?,Atendente
Como falar com atendente?,Atendente
Como posso solicitar uma cópia da fatura do meu pedido anterior?,Atendente
Existe um chat ao vivo disponível para suporte?,Atendente
Vocês têm um canal de suporte online?,Atendente
Vocês têm um canal de suporte online?,Atendente
Vocês têm um chat ao vivo para suporte?,Atendente
Até que horas vocês atendem?,Atendimento
Como faço para atualizar meu endereço de entrega?,Atendimento
Como faço para registrar uma reclamação sobre o atendimento ao cliente?,Atendimento
Como faço para registrar uma reclamação sobre o atendimento telefônico?,Atendimento
Como posso entrar em contato com o setor de vendas?,Atendimento
Como posso verificar o status do meu pedido online?,Atendimento
Como posso verificar o status do meu pedido por telefone?,Atendimento
O que devo fazer se meu sistema de refrigeração parar de funcionar durante a noite?,Atendimento
Posso comprar peças de reposição diretamente na loja física?,Atendimento
Posso comprar um produto diretamente na loja física da Refriartec?,Atendimento
Quais são os dias da semana em que vocês oferecem atendimento ao cliente?,Atendimento
Quais são os horários de atendimento para contato com a Refriartec?,Atendimento
Quais são os horários de atendimento para contato com a Refriartec?,Atendimento
Quais são os horários de atendimento para serviços de conserto?,Atendimento
Qual é a política de cancelamento de pedidos?,Atendimento
Qual é o horário de funcionamento da loja online?,Atendimento
Qual é o horário de funcionamento da loja principal da Refriartec?,Atendimento
Quanto tempo leva para um técnico chegar em caso de emergência?,Atendimento
Vocês oferecem assistência técnica aos sábados e domingos?,Atendimento
Vocês oferecem atendimento 24 horas para emergências?,Atendimento
Vocês possuem uma linha direta para emergências?,Atendimento
Boa noite,Cumprimento
Boa tarde,Cumprimento
"Boa tarde, gostaria de obter informações",Cumprimento
Bom dia,Cumprimento
"Bom dia, estou interessado em comprar um ar condicionado.",Cumprimento
Eai,Cumprimento
Oi,Cumprimento
Oi,Cumprimento
"Oi, como vocês estão?",Cumprimento
Olá,Cumprimento
"Olá, estou precisando de ajuda",Cumprimento
"Olá, gostaria de fazer algumas perguntas sobre seus produtos.",Cumprimento
"Olá, qual é o seu nome?",Cumprimento
Olá!,Cumprimento
Tem alguém aí?,Cumprimento
Tudo bem?,Cumprimento
Como faço para alterar a data de entrega do meu pedido?,Delivery
Como faço para rastrear a entrega de um pedido fora do país?,Delivery
Como faço para registrar uma reclamação sobre a entrega por meio de aplicativos de mensagens?,Delivery
Como faço para registrar uma reclamação sobre a entrega por meio de aplicativos de redes sociais?,Delivery
Como faço para registrar uma reclamação sobre a entrega por mensagem de texto?,Delivery
Como faço para registrar uma reclamação sobre a entrega?,Delivery
Como faço para saber se minha encomenda foi despachada?,Delivery
Como posso acompanhar o status da minha entrega?,Delivery
Como posso rastrear a entrega do meu pedido?,Delivery
Como posso solicitar a entrega de um ar condicionado?,Delivery
É possível agendar a entrega para um horário específico?,Delivery
Existe um limite de peso para os produtos que vocês entregam?,Delivery
Há alguma taxa de entrega para pedidos online?,Delivery
Posso acompanhar o status da minha encomenda pelo aplicativo móvel?,Delivery
Posso acompanhar o status da minha entrega?,Delivery
Posso adicionar itens ao meu pedido após a compra?,Delivery
Posso adicionar serviços adicionais ao meu pedido depois de concluí-lo na loja física?,Delivery
Posso adicionar serviços adicionais ao meu pedido depois de concluí-lo por mensagem de texto?,Delivery
Posso adicionar serviços adicionais ao meu pedido depois de concluí-lo?,Delivery
Posso adicionar um seguro de entrega ao meu pedido?,Delivery
Posso alterar meu endereço de entrega após fazer o pedido?,Delivery
Posso fazer um pedido por meio de um aplicativo móvel?,Delivery
Quais são as opções de entrega disponíveis para áreas rurais?,Delivery
Quais são as opções de entrega disponíveis para edifícios comerciais?,Delivery
Quais são as opções de entrega disponíveis?,Delivery
Quais são as políticas de entrega para pedidos internacionais?,Delivery
Quais são as políticas de entrega para pedidos urgentes?,Delivery
Quais são os custos de entrega para os produtos?,Delivery
Quais são os prazos de entrega para pedidos de grande volume?,Delivery
Quais são os prazos de entrega para pedidos de grande volume?,Delivery
Quais são os prazos de entrega para pedidos de pequeno porte?,Delivery
Quais são os prazos de entrega para pedidos de pequeno volume?,Delivery
Quais são os prazos de entrega para pedidos internacionais?,Delivery
Quais são os prazos de entrega para pedidos personalizados?,Delivery
Quais são os prazos de entrega para pedidos urgentes durante feriados em áreas rurais por mensagem de texto?,Delivery
Quais são os prazos de entrega para pedidos urgentes durante feriados em áreas rurais?,Delivery
Quais são os prazos de entrega para pedidos urgentes durante feriados?,Delivery
Quais são os prazos de entrega para produtos em estoque?,Delivery
Quais são os prazos de entrega para produtos personalizados?,Delivery
Qual é a área de cobertura para entregas?,Delivery
Qual é o prazo de entrega estimado para produtos em estoque?,Delivery
Qual é o prazo de entrega para um novo sistema de refrigeração?,Delivery
Quando irei receber?,Delivery
Quanto custa o envio para minha região?,Delivery
Quanto tempo demora a entrega?,Delivery
Quanto tempo demora a entrega?,Delivery
Quanto tempo vai demorar para chegar?,Delivery
Vocês fazem entrega no mesmo dia?,Delivery
Vocês oferecem serviço de entrega de produtos?,Delivery
Vocês possuem parcerias com empresas de transporte para entrega rápida?,Delivery
"Adeus, espero entrar em contato novamente em breve.",Despedida
"Adeus, vou continuar pesquisando.",Despedida
"Até logo, e obrigado por todas as informações.",Despedida
"Até logo, estarei de volta em breve.",Despedida
"Até mais tarde, e obrigado pela ajuda!",Despedida
"Boa sorte com suas compras, tchau!",Despedida
"É isso por agora, até mais tarde.",Despedida
"Encerrando a conversa, tenha um dia incrível!",Despedida
"Estou encerrando a conversa agora, adeus!",Despedida
"Estou indo agora, tenha um ótimo dia!",Despedida
"Foi ótimo conversar com você, tenha um bom dia!",Despedida
"Muito obrigado pela ajuda, até mais!",Despedida
"Obrigado pela sua ajuda, até a próxima vez.",Despedida
"Obrigado pelas informações, tenha um ótimo dia!",Despedida
"Obrigado pelo seu tempo, até mais!",Despedida
"Obrigado por tudo, até a próxima.",Despedida
Tchau,Despedida
Tenha um bom dia e até logo!,Despedida
"Tenha um dia maravilhoso, adeus!",Despedida
Tenha um excelente dia e até a próxima!,Despedida
"Vou seguir em frente, tenha um bom dia!",Despedida
Como faço para devolver um produto danificado para troca?,Garantia
Como faço para obter informações sobre a garantia de peças específicas?,Garantia
Como faço para obter informações sobre garantia internacional?,Garantia
Como faço para registrar uma reclamação sobre um produto com defeito?,Garantia
Como faço para registrar uma reclamação sobre um produto danificado?,Garantia
Como faço para verificar o status da minha garantia?,Garantia
O que acontece se meu equipamento de refrigeração apresentar problemas durante a garantia?,Garantia
Quais são as políticas de devolução para produtos não abertos?,Garantia
Quais são as políticas de devolução para produtos personalizados com defeito?,Garantia
Quais são as políticas de troca para produtos comprados pessoalmente na loja física?,Garantia
Quais são as políticas de troca para produtos não abertos e não utilizados adquiridos por meio de aplicativos de redes sociais?,Garantia
Quais são as políticas de troca para produtos não abertos e não utilizados adquiridos por meio de aplicativos de redes sociais?,Garantia
Quais são as políticas de troca para produtos não abertos e não utilizados adquiridos por meio de aplicativos de redes sociais?,Garantia
Quais são as políticas de troca para produtos não abertos e não utilizados adquiridos por meio de aplicativos de redes sociais?,Garantia
Quais são as políticas de troca para produtos não abertos e não utilizados adquiridos por meio de aplicativos de redes sociais?,Garantia
Quais são as políticas de troca para produtos não abertos e não utilizados adquiridos por mensagem de texto?,Garantia
Quais são as políticas de troca para produtos não abertos e não utilizados?,Garantia
Quais são as políticas de troca para produtos não utilizados?,Garantia
Quais são os procedimentos em caso de danos causados por eventos naturais?,Garantia
Qual é a política de devolução de produtos não utilizados?,Garantia
Qual é a política de devolução de produtos personalizados?,Garantia
Qual é a política de devolução em caso de produtos danificados?,Garantia
Qual é a política de devolução para produtos danificados durante o transporte?,Garantia
Qual é a política de devolução para produtos personalizados com defeito durante o transporte por mensagem de texto?,Garantia
Qual é a política de devolução para produtos personalizados com defeito durante o transporte?,Garantia
Qual é a política de devolução para produtos personalizados com defeito?,Garantia
Qual é a política de garantia para peças de reposição compradas na loja física?,Garantia
Qual é a política de garantia para peças de reposição compradas online?,Garantia
Qual é a política de garantia para peças de reposição compradas por meio de aplicativos de redes sociais?,Garantia
Qual é a política de garantia para peças de reposição compradas por mensagem de texto?,Garantia
